numGames, i, min, max, avg
30,0.0,35,81,50.43333333333333
30,0.0344827586207,59,351,156.76666666666668
30,0.0689655172414,51,469,127.5
30,0.103448275862,52,390,165.53333333333333
30,0.137931034483,48,434,153.6
30,0.172413793103,62,430,162.43333333333334
30,0.206896551724,43,380,178.0
30,0.241379310345,37,353,154.56666666666666
30,0.275862068966,42,609,196.73333333333332
30,0.310344827586,56,427,170.7
30,0.344827586207,56,380,168.6
30,0.379310344828,66,498,175.83333333333334
30,0.413793103448,48,505,194.06666666666666
30,0.448275862069,73,861,228.33333333333334
30,0.48275862069,52,828,242.4
30,0.51724137931,55,287,140.56666666666666
30,0.551724137931,56,187,116.43333333333334
30,0.586206896552,62,293,136.36666666666667
30,0.620689655172,72,266,138.43333333333334
30,0.655172413793,59,242,141.56666666666666
30,0.689655172414,61,280,141.46666666666667
30,0.724137931034,54,236,135.26666666666668
30,0.758620689655,79,223,128.8
30,0.793103448276,73,250,116.46666666666667
30,0.827586206897,72,199,120.96666666666667
30,0.862068965517,63,215,109.66666666666667
30,0.896551724138,66,234,120.66666666666667
30,0.931034482759,63,251,119.6
30,0.965517241379,62,177,115.0
30,1.0,41,62,50.03333333333333
